id,ground_truth,predicted,correct,Happiness,Neutral,Anger,Fear,Boredom,Disgust,Sadness
03a01Fa,0,1,False,0.07379,0.88325,0.00848,0.00144,0.00272,0.03033,0.0
03a01Nc,1,1,True,0.00041,0.95912,5e-05,0.00019,0.03782,0.00242,0.0
03a01Wa,2,2,True,0.15607,3e-05,0.83921,0.00052,0.0,0.00417,0.0
03a02Fc,0,3,False,0.01079,2e-05,0.09267,0.86401,0.0001,0.0,0.03239
03a02Nc,1,1,True,3e-05,0.54346,1e-05,0.0013,0.41656,0.03855,9e-05
03a02Ta,6,6,True,0.0,0.00808,0.0,1e-05,0.00246,0.00011,0.98933
03a02Wb,2,2,True,0.01066,1e-05,0.98293,0.00453,0.0,1e-05,0.00186
03a02Wc,2,2,True,0.06558,0.0,0.93421,0.00017,0.0,3e-05,0.0
03a04Ad,3,3,True,0.00881,0.0,0.1495,0.84047,1e-05,0.00114,7e-05
03a04Fd,0,0,True,0.92937,2e-05,0.04277,0.02067,0.0,0.00716,0.0
03a04Lc,4,1,False,0.00018,0.69772,1e-05,0.01167,0.28903,0.00138,0.0
03a04Nc,1,4,False,0.00036,0.47637,1e-05,0.0154,0.50778,8e-05,0.0
03a04Ta,6,4,False,1e-05,0.49435,4e-05,0.0029,0.50217,0.0,0.00053
03a04Wc,2,2,True,0.0071,0.0,0.99269,0.00019,0.0,1e-05,0.0
03a05Aa,3,2,False,0.03974,0.0,0.9155,0.04232,1e-05,0.00243,0.0
03a05Fc,0,3,False,0.03846,0.00046,0.00039,0.92995,0.00048,0.03026,0.0
03a05Nd,1,1,True,4e-05,0.59436,0.0,0.00264,0.40156,0.00133,7e-05
03a05Tc,6,4,False,0.0,0.03454,0.0,0.0005,0.91743,4e-05,0.04749
03a05Wa,2,2,True,0.28678,0.00068,0.6133,0.01224,0.00106,0.08595,0.0
03a05Wb,2,2,True,0.10346,0.0,0.89477,0.00172,0.0,5e-05,0.0
03a07Fa,0,3,False,0.00364,1e-05,0.02311,0.9732,2e-05,1e-05,1e-05
03a07Fb,0,2,False,0.32497,0.0,0.64506,0.02994,0.0,2e-05,0.0
03a07La,4,4,True,0.0,0.04782,0.0,8e-05,0.95181,3e-05,0.00025
03a07Nc,1,4,False,1e-05,0.44747,0.0,0.00036,0.55148,0.00066,1e-05
03a07Wc,2,2,True,0.02612,0.0,0.97287,0.00094,0.0,7e-05,0.0
03b01Fa,0,0,True,0.52719,0.02071,0.02076,0.4313,4e-05,0.0,0.0
03b01Lb,4,4,True,0.0,0.02163,0.0,0.00011,0.97757,0.00038,0.00031
03b01Nb,1,1,True,0.00102,0.86152,2e-05,0.00012,0.1373,2e-05,0.0
03b01Td,6,4,False,0.0,0.26135,0.0,5e-05,0.73341,0.0003,0.00489
03b01Wa,2,2,True,0.03575,7e-05,0.96211,0.00189,0.0,0.00017,0.0
03b01Wc,2,0,False,0.75654,0.00146,0.23997,0.00076,0.0,0.00128,0.0
03b02Aa,3,3,True,0.0001,0.00035,0.00318,0.91956,0.0001,0.07571,0.00101
03b02La,4,4,True,0.0,0.21422,0.0,9e-05,0.78158,2e-05,0.00409
03b02Na,1,4,False,0.0,0.3153,0.0,0.00031,0.68402,0.00028,9e-05
03b02Tb,6,6,True,0.0,0.00047,0.0,0.00111,0.12282,0.00018,0.87542
03b02Wb,2,2,True,0.07817,0.01962,0.81296,0.03722,0.00547,0.04656,0.0
03b03Nb,1,1,True,0.00019,0.98411,2e-05,0.00139,0.01159,0.00271,0.0
03b03Tc,6,6,True,0.0,0.01682,0.0,0.00126,0.40246,0.0003,0.57915
03b03Wc,2,2,True,0.22624,0.00122,0.72517,0.0021,0.0,0.04526,0.0
03b09La,4,1,False,0.0,0.73452,1e-05,1e-05,0.26027,0.00437,0.00082
03b09Nc,1,1,True,8e-05,0.99153,5e-05,1e-05,0.00833,0.0,0.0
03b09Tc,6,6,True,0.0,0.0247,8e-05,2e-05,0.00442,0.11405,0.85673
03b09Wa,2,2,True,0.01474,0.00107,0.98288,0.00019,3e-05,0.00109,0.0
03b10Ab,3,2,False,0.01608,0.0,0.97879,0.0039,0.0,0.00123,0.0
03b10Ec,5,4,False,6e-05,0.0201,1e-05,0.0032,0.9707,0.00592,1e-05
03b10Na,1,4,False,0.0002,0.204,1e-05,0.00344,0.79114,0.00121,0.0
03b10Nc,1,4,False,0.00047,0.38549,1e-05,0.00414,0.6089,0.00099,0.0
03b10Wb,2,2,True,0.02496,0.0,0.97334,0.00166,2e-05,1e-05,0.0
03b10Wc,2,2,True,0.03229,1e-05,0.96736,0.00034,0.0,0.0,0.0
